               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078828,            0.029237,            0.042046,            0.075753,             0.13759,            0.090962,            0.041449,            0.050201,            0.014809,            0.031997,            0.070263,           0.0033041,           0.0033041
                   1,            0.059995,            0.026538,            0.034113,             0.25837,             0.23177,             0.20323,            0.091699,            0.045582,            0.013577,            0.024719,            0.040064,           0.0064383,           0.0064383
                   2,             0.05686,            0.025584,            0.028239,             0.50784,              0.4577,             0.46699,             0.22902,             0.04178,            0.014298,            0.017001,           0.0096649,           0.0093725,           0.0093725
                   3,            0.054148,              0.0259,            0.022507,             0.51709,             0.44817,             0.43922,             0.20958,            0.044272,            0.015704,            0.014059,              0.0091,              0.0091,              0.0091
                   4,            0.052524,            0.026111,            0.020147,             0.53536,             0.46565,             0.47038,             0.23745,            0.042413,            0.015328,            0.012474,              0.0091,              0.0091,              0.0091
                   5,            0.051747,            0.026277,            0.019176,             0.56291,             0.52965,              0.5256,             0.28231,            0.040557,            0.015115,            0.012406,              0.0088,              0.0088,              0.0088
                   6,            0.050317,            0.026057,            0.018238,             0.58385,             0.52187,              0.5441,             0.28553,             0.04043,            0.014914,            0.010789,              0.0085,              0.0085,              0.0085
                   7,            0.050157,            0.026117,            0.017403,             0.59697,             0.53324,             0.56169,             0.30893,            0.039019,            0.014525,           0.0096542,              0.0082,              0.0082,              0.0082
                   8,            0.049537,            0.026253,            0.017042,              0.5432,             0.47083,             0.48381,             0.25948,            0.041358,            0.015226,            0.010942,              0.0079,              0.0079,              0.0079
                   9,            0.049457,            0.026259,            0.016969,             0.60436,              0.5412,             0.57026,             0.31291,             0.03955,            0.014754,           0.0093068,              0.0076,              0.0076,              0.0076
                  10,            0.048913,             0.02628,            0.016597,              0.6053,             0.53021,             0.57038,              0.3083,            0.038923,            0.014813,           0.0079443,              0.0073,              0.0073,              0.0073
                  11,            0.048593,            0.026156,            0.016259,             0.63024,             0.56001,             0.59901,             0.33491,            0.038939,            0.014733,           0.0081351,               0.007,               0.007,               0.007
                  12,            0.048265,            0.025912,            0.016124,             0.62095,             0.57737,             0.60896,             0.34178,            0.037848,            0.014545,           0.0085112,              0.0067,              0.0067,              0.0067
                  13,            0.047837,            0.025733,            0.015614,             0.63188,             0.58298,             0.62076,             0.35798,             0.03752,            0.014278,           0.0077004,              0.0064,              0.0064,              0.0064
                  14,            0.047552,            0.025767,            0.015517,             0.60814,              0.5591,               0.584,             0.33001,            0.037816,            0.014303,           0.0083558,              0.0061,              0.0061,              0.0061
                  15,             0.04746,            0.025908,            0.015277,             0.63881,             0.55388,               0.596,             0.34133,            0.038142,            0.014385,           0.0074022,              0.0058,              0.0058,              0.0058
                  16,            0.046773,            0.025503,            0.014978,             0.62166,             0.57857,             0.60591,             0.34451,            0.037228,            0.014165,           0.0069036,              0.0055,              0.0055,              0.0055
                  17,            0.046757,            0.025496,            0.014826,             0.65434,             0.61956,             0.65135,             0.37738,            0.037612,             0.01406,           0.0067601,              0.0052,              0.0052,              0.0052
                  18,            0.046215,            0.025241,            0.014649,             0.66043,             0.59504,             0.63562,             0.37537,            0.036268,             0.01408,           0.0068264,              0.0049,              0.0049,              0.0049
                  19,              0.0464,            0.025304,            0.014537,             0.68162,             0.62773,             0.67277,              0.4009,            0.036157,            0.013653,           0.0061163,              0.0046,              0.0046,              0.0046
                  20,            0.046109,            0.025626,             0.01407,             0.67486,             0.62667,             0.66617,             0.39797,            0.036231,             0.01395,           0.0062653,              0.0043,              0.0043,              0.0043
                  21,            0.045582,            0.025041,            0.013835,             0.68543,             0.64456,             0.69072,             0.42031,            0.035461,            0.013416,           0.0057964,               0.004,               0.004,               0.004
                  22,            0.045358,            0.024986,            0.013733,             0.68927,             0.64592,             0.69115,             0.41462,             0.03512,            0.013617,           0.0055391,              0.0037,              0.0037,              0.0037
                  23,             0.04487,            0.025212,            0.013392,             0.70719,             0.66286,             0.71289,             0.43419,            0.034679,            0.013292,           0.0052338,              0.0034,              0.0034,              0.0034
                  24,            0.044834,            0.024957,            0.013454,             0.68494,             0.64687,             0.69508,             0.43058,            0.034339,            0.013354,           0.0052092,              0.0031,              0.0031,              0.0031
                  25,            0.044394,            0.025044,             0.01316,             0.69158,             0.66042,             0.70505,             0.43525,            0.034415,            0.013405,           0.0049885,              0.0028,              0.0028,              0.0028
                  26,            0.043954,            0.024912,            0.012925,             0.69748,              0.6496,             0.69782,             0.42907,            0.034257,            0.013506,           0.0052889,              0.0025,              0.0025,              0.0025
                  27,             0.04357,            0.024562,            0.012635,             0.69574,             0.66499,             0.71174,             0.44233,            0.033988,            0.013386,           0.0047655,              0.0022,              0.0022,              0.0022
                  28,            0.043581,            0.024699,            0.012616,             0.72979,             0.68163,             0.72998,             0.45741,            0.033901,            0.013054,           0.0046259,              0.0019,              0.0019,              0.0019
                  29,            0.043338,            0.024315,            0.012522,             0.70478,             0.68996,             0.73045,             0.45946,            0.033531,            0.013112,           0.0045431,              0.0016,              0.0016,              0.0016
