               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073367,            0.036926,            0.062223,              0.2625,             0.29461,             0.24156,              0.1122,            0.049487,              0.0191,            0.038544,            0.070231,           0.0033077,           0.0033077
                   1,              0.0549,            0.032809,            0.038431,             0.47549,             0.53712,             0.49542,             0.23563,            0.045871,            0.019515,             0.02248,            0.040012,           0.0064219,           0.0064219
                   2,            0.052191,            0.032464,            0.026596,             0.52134,             0.42149,             0.41938,             0.20225,            0.044902,            0.022163,            0.022105,           0.0095725,           0.0093161,           0.0093161
                   3,            0.048628,            0.034365,            0.024407,             0.53912,              0.4907,             0.49769,             0.24784,            0.045025,            0.023232,            0.019144,             0.00901,             0.00901,             0.00901
                   4,            0.046384,            0.034692,             0.02307,             0.52129,             0.48896,              0.4857,             0.24112,            0.043692,            0.022124,            0.018401,             0.00901,             0.00901,             0.00901
                   5,            0.045151,            0.034739,            0.021684,             0.55425,              0.5052,             0.51528,             0.26253,            0.043742,             0.02177,            0.016369,             0.00868,             0.00868,             0.00868
                   6,            0.044156,            0.034664,            0.021257,             0.54661,             0.47103,             0.49136,             0.24971,            0.042549,             0.02221,            0.016152,             0.00835,             0.00835,             0.00835
                   7,             0.04361,            0.034387,            0.020213,             0.57694,             0.52254,             0.54989,             0.29307,            0.039934,            0.021809,            0.015579,             0.00802,             0.00802,             0.00802
                   8,            0.042754,            0.034644,            0.019229,             0.60973,             0.50872,             0.53729,             0.29204,            0.040614,             0.02109,            0.016937,             0.00769,             0.00769,             0.00769
                   9,            0.042082,            0.034008,            0.019323,             0.60024,             0.54927,             0.56606,             0.29612,            0.040828,            0.021591,            0.013782,             0.00736,             0.00736,             0.00736
                  10,            0.041705,            0.034134,            0.018138,             0.60105,             0.54289,              0.5663,             0.31528,            0.039373,            0.021711,            0.013722,             0.00703,             0.00703,             0.00703
                  11,            0.041356,            0.034007,            0.017768,             0.61222,             0.54864,             0.56473,             0.31405,            0.039868,            0.020575,            0.014921,              0.0067,              0.0067,              0.0067
                  12,            0.040715,            0.033944,            0.017152,             0.62462,              0.5474,             0.58297,             0.31165,            0.040414,            0.021065,            0.013512,             0.00637,             0.00637,             0.00637
                  13,            0.040549,            0.033665,            0.016941,             0.64502,             0.53228,             0.57049,             0.31373,            0.039726,             0.02143,            0.014438,             0.00604,             0.00604,             0.00604
                  14,            0.040365,            0.033678,            0.016452,             0.64538,             0.59769,             0.63787,             0.36858,            0.037278,            0.020117,            0.010639,             0.00571,             0.00571,             0.00571
                  15,            0.039607,            0.033471,            0.016067,             0.63571,             0.57418,             0.61322,             0.35413,            0.037658,            0.020333,            0.012134,             0.00538,             0.00538,             0.00538
                  16,            0.039264,            0.033015,            0.015545,             0.65865,             0.59008,             0.62282,             0.36547,            0.037243,            0.020026,            0.011904,             0.00505,             0.00505,             0.00505
                  17,             0.03869,            0.032945,            0.015022,             0.68065,             0.61016,             0.66293,             0.39355,            0.036576,            0.019896,            0.010847,             0.00472,             0.00472,             0.00472
                  18,            0.038332,             0.03281,             0.01481,             0.68506,             0.62052,              0.6683,             0.39823,            0.036128,             0.01968,            0.010423,             0.00439,             0.00439,             0.00439
                  19,            0.037926,            0.032579,            0.014202,             0.67468,             0.63803,             0.67149,             0.40428,            0.036017,            0.019556,            0.010096,             0.00406,             0.00406,             0.00406
                  20,            0.037581,            0.032253,            0.014015,             0.71249,             0.63239,             0.69013,             0.41442,            0.035971,            0.019385,           0.0099201,             0.00373,             0.00373,             0.00373
                  21,            0.037238,            0.032193,             0.01333,             0.71459,             0.65066,             0.71539,             0.43312,             0.03511,            0.019434,           0.0084478,              0.0034,              0.0034,              0.0034
                  22,             0.03688,            0.031963,            0.013268,             0.72072,              0.6694,             0.71732,             0.44329,            0.034848,             0.01904,           0.0086095,             0.00307,             0.00307,             0.00307
                  23,            0.036636,            0.031801,            0.012645,             0.69624,             0.66379,             0.70627,             0.43146,            0.035257,            0.019288,            0.008758,             0.00274,             0.00274,             0.00274
                  24,             0.03609,            0.031677,            0.012402,             0.70773,             0.68911,             0.72953,             0.45725,             0.03413,            0.018822,            0.007745,             0.00241,             0.00241,             0.00241
                  25,            0.035624,            0.031684,            0.011932,             0.71982,             0.68801,             0.73335,             0.45857,            0.034231,            0.018823,           0.0079554,             0.00208,             0.00208,             0.00208
                  26,            0.035392,            0.031509,             0.01183,             0.72332,             0.67307,             0.72909,             0.45605,            0.034227,            0.018884,           0.0076057,             0.00175,             0.00175,             0.00175
                  27,            0.034961,            0.031001,            0.011292,             0.73348,             0.69616,             0.74735,             0.47579,            0.033798,            0.018631,           0.0073763,             0.00142,             0.00142,             0.00142
                  28,              0.0346,            0.030828,            0.011052,              0.7414,             0.70411,             0.75362,             0.48232,            0.033553,            0.018516,            0.007156,             0.00109,             0.00109,             0.00109
                  29,            0.034341,            0.031058,            0.010701,             0.72896,             0.72319,             0.75806,             0.48487,            0.033222,            0.018484,           0.0069803,             0.00076,             0.00076,             0.00076
