               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1012,            0.082712,            0.095576,          2.1631e-05,            0.002938,           1.723e-05,          4.3855e-06,            0.097264,            0.060464,            0.085175,            0.070201,            0.003311,            0.003311
                   1,            0.092482,            0.082949,            0.082721,           0.0013167,            0.011748,          0.00084976,          0.00027252,            0.094143,            0.062817,            0.082299,            0.040179,           0.0066224,           0.0066224
                   2,            0.083144,            0.084856,            0.080042,           0.0034095,            0.054137,           0.0030423,           0.0010563,            0.083704,            0.067078,            0.078746,            0.010135,           0.0099118,           0.0099118
                   3,            0.077324,            0.084161,            0.076435,             0.50549,            0.025562,            0.010633,           0.0036875,            0.076497,            0.064505,             0.07313,            0.009901,            0.009901,            0.009901
                   4,             0.07404,            0.084341,            0.072231,             0.53383,            0.033355,            0.018178,           0.0069415,            0.074925,            0.061821,            0.070695,            0.009901,            0.009901,            0.009901
                   5,            0.072456,            0.083953,            0.068659,             0.47784,             0.05476,            0.025373,           0.0091643,            0.071966,              0.0633,            0.063953,            0.009868,            0.009868,            0.009868
                   6,             0.07117,            0.082199,            0.065819,             0.47261,            0.060231,            0.037707,            0.015682,            0.070256,            0.060557,             0.06132,            0.009835,            0.009835,            0.009835
                   7,            0.070134,            0.082239,            0.063449,             0.39782,            0.077253,             0.03844,            0.014966,            0.071098,            0.063872,            0.058582,            0.009802,            0.009802,            0.009802
                   8,            0.069419,            0.082378,            0.061301,             0.47508,            0.078421,            0.051259,             0.02013,            0.070638,            0.060708,             0.05909,            0.009769,            0.009769,            0.009769
                   9,            0.068872,            0.081132,            0.059607,             0.34598,             0.09975,            0.061241,            0.025445,            0.068048,            0.060437,            0.055008,            0.009736,            0.009736,            0.009736
                  10,            0.068283,            0.080951,            0.057891,             0.32838,             0.10253,            0.064577,            0.027065,            0.068084,            0.060818,            0.054284,            0.009703,            0.009703,            0.009703
                  11,            0.067756,            0.080579,            0.056582,             0.33702,             0.11035,            0.072612,            0.030718,            0.067139,            0.059478,             0.05307,             0.00967,             0.00967,             0.00967
                  12,            0.067466,            0.080068,            0.055452,             0.37181,             0.11247,              0.0813,            0.035784,            0.066887,            0.059542,            0.051881,            0.009637,            0.009637,            0.009637
                  13,            0.066868,            0.080527,            0.054187,             0.33882,             0.12731,            0.089912,            0.039766,            0.065987,            0.059058,            0.049962,            0.009604,            0.009604,            0.009604
                  14,            0.066492,            0.079802,            0.053671,             0.33998,             0.13912,            0.096831,            0.041255,            0.065671,            0.059011,            0.049315,            0.009571,            0.009571,            0.009571
                  15,            0.066153,            0.080016,            0.052491,              0.3305,             0.14581,              0.1051,            0.046156,            0.065021,            0.058535,            0.047786,            0.009538,            0.009538,            0.009538
                  16,            0.065963,            0.079413,            0.051603,             0.32586,             0.14576,             0.10089,            0.045425,             0.06467,            0.059283,            0.047184,            0.009505,            0.009505,            0.009505
                  17,            0.065358,            0.079197,            0.051016,             0.33959,             0.15001,             0.10978,            0.049652,            0.064263,            0.059054,            0.046643,            0.009472,            0.009472,            0.009472
                  18,            0.065095,            0.079178,            0.050241,              0.3525,             0.16191,             0.12057,            0.054542,             0.06392,            0.058421,             0.04622,            0.009439,            0.009439,            0.009439
                  19,            0.065055,            0.079607,            0.049632,             0.34139,             0.16309,             0.12541,            0.058004,            0.063611,            0.058607,            0.045472,            0.009406,            0.009406,            0.009406
                  20,            0.064687,            0.079194,            0.048877,             0.30469,             0.16785,             0.12684,            0.058067,            0.063526,            0.057999,            0.044727,            0.009373,            0.009373,            0.009373
                  21,            0.064536,            0.079453,            0.048444,             0.33203,             0.16592,             0.12845,            0.060106,            0.063174,            0.058492,             0.04485,             0.00934,             0.00934,             0.00934
                  22,             0.06442,            0.079428,            0.047788,             0.29637,             0.16642,             0.13414,            0.062575,             0.06303,            0.058664,            0.044835,            0.009307,            0.009307,            0.009307
                  23,            0.064075,            0.078544,            0.047185,             0.31659,             0.18218,             0.14145,            0.066922,            0.062746,            0.058112,            0.043475,            0.009274,            0.009274,            0.009274
                  24,            0.063958,            0.078191,            0.046866,             0.32085,             0.18549,             0.14841,            0.069454,             0.06226,            0.057909,            0.042793,            0.009241,            0.009241,            0.009241
                  25,            0.063662,            0.078957,            0.046481,             0.32424,             0.20146,             0.15926,            0.076711,            0.061844,            0.057616,            0.042414,            0.009208,            0.009208,            0.009208
                  26,            0.063519,            0.078125,            0.045896,             0.33809,             0.19091,             0.15285,            0.073361,            0.062102,            0.057774,            0.042289,            0.009175,            0.009175,            0.009175
                  27,            0.063323,            0.078892,             0.04547,             0.34431,             0.19562,             0.16159,            0.077978,            0.061453,            0.057666,            0.041404,            0.009142,            0.009142,            0.009142
                  28,            0.063389,            0.078208,            0.045105,             0.31657,             0.20744,             0.17176,            0.083861,            0.061188,            0.057392,            0.041042,            0.009109,            0.009109,            0.009109
                  29,            0.063125,            0.077776,             0.04515,             0.36778,             0.20386,              0.1679,            0.082298,            0.061251,            0.057574,            0.041206,            0.009076,            0.009076,            0.009076
                  30,            0.062941,            0.077358,            0.044454,             0.33636,             0.20868,             0.17524,            0.086409,            0.060971,            0.057588,            0.040292,            0.009043,            0.009043,            0.009043
                  31,            0.062865,            0.078025,            0.044275,             0.36703,              0.2099,             0.17813,            0.088085,            0.060706,            0.057167,            0.039798,             0.00901,             0.00901,             0.00901
                  32,            0.062705,            0.077295,            0.044002,             0.33999,             0.21375,             0.18218,            0.089762,            0.060392,            0.057122,            0.039557,            0.008977,            0.008977,            0.008977
                  33,            0.062564,            0.077859,            0.043705,             0.37371,             0.21313,             0.18598,            0.092298,            0.060422,            0.057159,            0.039162,            0.008944,            0.008944,            0.008944
                  34,              0.0623,            0.077498,            0.043067,               0.359,             0.21438,             0.18588,             0.09215,            0.060135,            0.057184,            0.038919,            0.008911,            0.008911,            0.008911
                  35,            0.062295,            0.077149,            0.042954,             0.37002,             0.22336,              0.1943,            0.097332,            0.060049,            0.056803,            0.038577,            0.008878,            0.008878,            0.008878
                  36,            0.062056,            0.077365,            0.042751,             0.35693,             0.22664,             0.19546,            0.098711,            0.059972,            0.057039,            0.038715,            0.008845,            0.008845,            0.008845
