               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.25268,            0.028604,            0.044242,          0.00052357,             0.14742,          0.00095472,          0.00017267,             0.23028,            0.023783,            0.040361,               0.098,               0.002,               0.002
                   1,             0.21503,            0.032351,            0.034788,           0.0039887,             0.37935,            0.022256,            0.004089,             0.17777,            0.019567,            0.029624,            0.095419,            0.004419,            0.004419
                   2,              0.1798,              0.0328,            0.028354,            0.066458,             0.16984,            0.047318,            0.015963,             0.18898,            0.015583,            0.027729,            0.092748,            0.006748,            0.006748
                   3,             0.16301,            0.029579,            0.026079,            0.086367,              0.1179,            0.063561,            0.019584,             0.18073,            0.016758,            0.027085,            0.089987,            0.008987,            0.008987
                   4,             0.15347,             0.03069,            0.025886,            0.069087,             0.15966,            0.048156,            0.017748,             0.15544,            0.017836,            0.026504,            0.087136,            0.011136,            0.011136
                   5,             0.14196,             0.03194,            0.025753,             0.32146,             0.14599,            0.056679,            0.016968,             0.17896,            0.015839,            0.024458,            0.084195,            0.013195,            0.013195
                   6,             0.13767,            0.032662,            0.025999,                0.27,            0.083642,            0.017576,            0.004261,             0.15342,            0.018532,             0.02396,            0.081164,            0.015164,            0.015164
                   7,             0.12662,            0.034059,            0.025869,             0.55389,            0.099074,            0.033485,             0.00933,             0.16593,            0.018177,            0.023638,            0.078043,            0.017043,            0.017043
                   8,              0.1261,            0.029833,            0.025309,             0.60304,             0.10525,            0.072551,            0.017034,             0.14599,            0.019461,            0.022622,            0.074832,            0.018832,            0.018832
                   9,             0.12043,            0.032561,            0.024447,             0.60696,             0.12068,             0.10468,            0.032961,              0.1587,             0.01565,            0.021836,            0.071531,            0.020531,            0.020531
                  10,             0.11794,            0.029922,            0.024108,             0.57374,             0.14537,            0.075219,            0.024588,             0.11791,             0.01894,            0.021021,             0.06814,             0.02214,             0.02214
                  11,             0.11541,            0.029677,            0.023008,             0.26456,             0.27028,             0.20188,            0.080259,             0.12387,            0.015547,            0.020068,            0.064659,            0.023659,            0.023659
