               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10186,            0.027553,            0.036546,              0.5606,             0.17932,            0.062374,            0.017935,            0.077907,            0.018408,            0.026945,            0.070682,           0.0032576,           0.0032576
                   1,            0.077308,            0.023873,             0.02183,             0.67612,             0.26605,             0.26296,             0.11336,            0.072369,            0.014327,            0.018127,            0.040551,           0.0064604,           0.0064604
                   2,            0.072886,            0.020565,             0.01765,             0.86798,             0.22788,              0.3106,             0.10092,            0.067299,            0.011409,            0.012806,            0.010289,           0.0095312,           0.0095312
                   3,             0.06604,            0.018016,            0.013854,              0.5445,             0.49031,              0.4708,              0.2208,            0.064852,             0.01181,            0.008519,            0.009406,            0.009406,            0.009406
                   4,            0.057282,            0.016695,            0.010557,             0.72368,              0.6345,             0.72229,             0.31678,            0.053377,             0.01022,           0.0060997,            0.009406,            0.009406,            0.009406
                   5,            0.050955,             0.01493,           0.0086027,             0.51617,             0.79182,             0.67842,             0.32592,            0.049962,           0.0096766,           0.0046007,            0.009208,            0.009208,            0.009208
                   6,            0.046478,            0.014136,           0.0068352,             0.88198,             0.83466,             0.86614,             0.36304,            0.041465,           0.0084225,           0.0042437,             0.00901,             0.00901,             0.00901
                   7,            0.043678,            0.013132,           0.0058509,              0.7949,             0.83252,             0.82706,             0.44259,             0.03844,            0.007781,            0.003817,            0.008812,            0.008812,            0.008812
                   8,            0.040717,            0.011994,           0.0051815,             0.80959,             0.85334,             0.87744,             0.54452,            0.033679,           0.0073134,           0.0035446,            0.008614,            0.008614,            0.008614
                   9,            0.038536,            0.012203,           0.0043622,             0.84075,             0.86401,             0.87637,             0.48553,            0.037012,           0.0071847,           0.0029138,            0.008416,            0.008416,            0.008416
                  10,            0.037268,             0.01173,           0.0040887,             0.95675,             0.85603,             0.92919,              0.5171,            0.030187,           0.0067711,           0.0026454,            0.008218,            0.008218,            0.008218
                  11,            0.034801,            0.011148,           0.0035784,             0.84938,             0.89927,              0.9098,             0.53614,            0.030877,           0.0067142,           0.0026587,             0.00802,             0.00802,             0.00802
                  12,            0.034188,            0.010733,            0.003636,             0.88739,             0.87955,             0.94751,             0.54491,            0.030501,            0.006498,           0.0025358,            0.007822,            0.007822,            0.007822
                  13,             0.03268,            0.010911,            0.003098,             0.80709,             0.85682,             0.92688,             0.55546,            0.029255,           0.0064545,           0.0022114,            0.007624,            0.007624,            0.007624
                  14,            0.031665,            0.010934,            0.003122,             0.93773,             0.89454,             0.94813,             0.52879,            0.029457,           0.0062345,           0.0022096,            0.007426,            0.007426,            0.007426
                  15,            0.031857,            0.010791,           0.0031698,              0.8764,             0.90405,             0.91083,             0.58545,            0.027402,           0.0062094,           0.0024007,            0.007228,            0.007228,            0.007228
                  16,             0.03063,           0.0099803,            0.002744,             0.94202,             0.91641,             0.95338,             0.63475,            0.024732,           0.0062564,            0.002519,             0.00703,             0.00703,             0.00703
                  17,            0.027923,           0.0095417,           0.0025558,             0.93502,             0.85455,              0.9165,             0.57681,            0.026483,           0.0061633,            0.002023,            0.006832,            0.006832,            0.006832
                  18,            0.028332,           0.0098691,           0.0025289,             0.97172,             0.88057,             0.94375,             0.64835,            0.023104,           0.0058606,           0.0021676,            0.006634,            0.006634,            0.006634
                  19,            0.027591,           0.0098076,            0.002487,              0.9384,             0.87696,             0.93133,             0.59744,            0.025504,           0.0057891,           0.0019206,            0.006436,            0.006436,            0.006436
                  20,            0.027813,            0.010077,           0.0022883,              0.9887,              0.9058,             0.96833,             0.62698,            0.023586,           0.0057716,           0.0017465,            0.006238,            0.006238,            0.006238
                  21,            0.026409,            0.009369,           0.0022612,             0.97713,             0.92127,             0.97765,             0.68255,            0.021543,            0.005579,            0.001741,             0.00604,             0.00604,             0.00604
                  22,            0.025591,           0.0091356,           0.0019744,             0.97458,             0.89534,             0.96361,             0.62524,            0.022956,           0.0057554,           0.0015335,            0.005842,            0.005842,            0.005842
                  23,             0.02483,           0.0091067,           0.0021422,             0.94085,             0.95668,             0.97802,             0.61188,            0.023909,           0.0059026,           0.0014636,            0.005644,            0.005644,            0.005644
                  24,            0.024207,           0.0092059,           0.0019763,             0.98196,             0.90498,              0.9676,             0.64491,            0.022397,           0.0056286,           0.0013913,            0.005446,            0.005446,            0.005446
                  25,            0.024589,           0.0096186,           0.0021292,              0.9886,              0.9306,             0.97461,             0.67077,            0.020764,           0.0054808,           0.0014367,            0.005248,            0.005248,            0.005248
                  26,            0.023649,           0.0088023,           0.0019367,              0.9771,              0.9183,              0.9683,             0.65708,            0.020539,           0.0053371,           0.0012314,             0.00505,             0.00505,             0.00505
                  27,            0.023043,           0.0086584,           0.0017482,              0.9749,              0.9184,             0.97423,             0.69221,            0.020006,           0.0054099,           0.0012383,            0.004852,            0.004852,            0.004852
                  28,            0.022886,           0.0088722,           0.0018384,             0.96318,             0.94587,             0.97414,             0.71798,             0.01958,           0.0050742,           0.0012997,            0.004654,            0.004654,            0.004654
                  29,             0.02181,           0.0081429,             0.00171,             0.95979,             0.95153,             0.97752,             0.67958,            0.021075,           0.0052983,           0.0011812,            0.004456,            0.004456,            0.004456
                  30,            0.021874,           0.0085367,           0.0015775,             0.98372,             0.92275,             0.97793,             0.70211,            0.020166,            0.005271,           0.0012463,            0.004258,            0.004258,            0.004258
                  31,            0.021304,            0.008513,           0.0016265,             0.98297,             0.94617,             0.97774,             0.74542,            0.018308,           0.0049388,           0.0011214,             0.00406,             0.00406,             0.00406
                  32,            0.020251,            0.008518,           0.0015845,             0.99571,             0.96074,             0.98104,             0.69462,            0.018929,           0.0051648,          0.00098883,            0.003862,            0.003862,            0.003862
                  33,            0.020426,            0.008315,           0.0015069,             0.97614,             0.92956,             0.97471,              0.7255,            0.017647,           0.0050246,           0.0010865,            0.003664,            0.003664,            0.003664
                  34,            0.019581,            0.008021,           0.0013444,             0.97919,             0.93025,             0.96851,             0.70312,            0.018813,             0.00514,           0.0012465,            0.003466,            0.003466,            0.003466
                  35,            0.019416,           0.0080422,           0.0013679,             0.97118,             0.92772,             0.96963,             0.72766,            0.017904,           0.0051438,          0.00099398,            0.003268,            0.003268,            0.003268
                  36,            0.018825,            0.008202,           0.0010848,             0.97175,             0.96536,             0.98103,             0.75245,            0.017133,           0.0048014,          0.00084778,             0.00307,             0.00307,             0.00307
                  37,            0.018733,           0.0078712,           0.0012329,             0.98815,             0.94677,             0.98011,             0.75328,            0.017069,           0.0047693,          0.00090364,            0.002872,            0.002872,            0.002872
                  38,             0.01821,           0.0076393,           0.0012048,             0.98599,             0.94452,             0.97625,             0.71623,            0.017628,           0.0049512,          0.00080757,            0.002674,            0.002674,            0.002674
                  39,            0.017981,           0.0077713,           0.0010862,             0.98919,             0.95103,             0.96899,             0.73756,            0.017215,           0.0048552,          0.00076427,            0.002476,            0.002476,            0.002476
                  40,            0.017599,           0.0074691,           0.0010689,             0.97742,             0.95108,             0.97566,             0.72963,            0.017158,           0.0047572,          0.00074031,            0.002278,            0.002278,            0.002278
                  41,            0.016827,           0.0080533,           0.0010117,             0.97886,             0.95965,             0.97859,             0.74068,            0.017058,           0.0048323,          0.00070054,             0.00208,             0.00208,             0.00208
                  42,             0.01707,           0.0074616,          0.00096284,             0.97702,             0.95738,             0.97855,             0.73885,            0.016751,           0.0047334,          0.00064259,            0.001882,            0.001882,            0.001882
                  43,             0.01649,           0.0075685,           0.0010525,             0.98745,             0.94431,             0.97879,             0.74552,            0.016567,           0.0046943,          0.00065393,            0.001684,            0.001684,            0.001684
                  44,             0.01606,            0.007408,           0.0010238,             0.98337,             0.96924,             0.97783,             0.75782,            0.016382,           0.0047569,          0.00054922,            0.001486,            0.001486,            0.001486
                  45,            0.015985,            0.007716,          0.00082745,             0.96959,             0.95253,             0.96696,             0.75774,            0.016211,           0.0046263,            0.000516,            0.001288,            0.001288,            0.001288
                  46,             0.01527,            0.007407,          0.00090215,              0.9823,             0.92719,             0.96569,             0.77082,            0.015968,           0.0044854,            0.000471,             0.00109,             0.00109,             0.00109
                  47,            0.015234,           0.0073713,          0.00080643,             0.98251,             0.92409,             0.95732,              0.7561,             0.01598,           0.0044969,          0.00043976,            0.000892,            0.000892,            0.000892
                  48,            0.015342,           0.0068947,          0.00076506,             0.99217,             0.92551,             0.95714,             0.75933,            0.015833,           0.0044928,          0.00042466,            0.000694,            0.000694,            0.000694
                  49,            0.015231,           0.0074324,          0.00082916,             0.98887,             0.92463,             0.95798,             0.77067,            0.015564,           0.0044486,          0.00042114,            0.000496,            0.000496,            0.000496
